lng,lat,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.680896"" data-longitude=""-124.940623"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.680896"" data-longitude=""-124.940623"" id=""map""></div>]",$389500,/ 3br - 2200ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.250871"" data-longitude=""-122.835487"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.250871"" data-longitude=""-122.835487"" id=""map""></div>]",$194900,/ 2br - 816ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.106916"" data-longitude=""-122.799459"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.106916"" data-longitude=""-122.799459"" id=""map""></div>]",$1198000,/ 6br - 4623ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.203888"" data-longitude=""-122.663126"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.203888"" data-longitude=""-122.663126"" id=""map""></div>]",$1198000,/ 6br - 4623ft
[],[],$529000,/ 3br - 1500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.108797"" data-longitude=""-122.808552"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.108797"" data-longitude=""-122.808552"" id=""map""></div>]",$1099999,/ 4br - 3912ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.209189"" data-longitude=""-123.124305"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.209189"" data-longitude=""-123.124305"" id=""map""></div>]",$1448000,/ 2br - 1429ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168404"" data-longitude=""-122.661587"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168404"" data-longitude=""-122.661587"" id=""map""></div>]",$699000,/ 7br - 3824ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.282350"" data-longitude=""-123.124488"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.282350"" data-longitude=""-123.124488"" id=""map""></div>]",$609000,/ 2br - 1142ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170270"" data-longitude=""-123.138467"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170270"" data-longitude=""-123.138467"" id=""map""></div>]",$388000,/ 2br - 741ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214002"" data-longitude=""-122.988517"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214002"" data-longitude=""-122.988517"" id=""map""></div>]",$315000,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.167023"" data-longitude=""-122.630140"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.167023"" data-longitude=""-122.630140"" id=""map""></div>]",$629000,/ 3br - 2326ft
[],[],$295,/ 2br - 1225ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.132927"" data-longitude=""-122.665014"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.132927"" data-longitude=""-122.665014"" id=""map""></div>]",$349900,/ 3br - 1555ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.092676"" data-longitude=""-122.644421"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.092676"" data-longitude=""-122.644421"" id=""map""></div>]",$555000,/ 4br - 2033ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191441"" data-longitude=""-122.846721"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191441"" data-longitude=""-122.846721"" id=""map""></div>]",$219000,/ 1br - 579ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223558"" data-longitude=""-123.089937"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223558"" data-longitude=""-123.089937"" id=""map""></div>]",$1898000,/ 8br - 3277ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.163811"" data-longitude=""-122.749781"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.163811"" data-longitude=""-122.749781"" id=""map""></div>]",$199800,/ 1br - 530ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.038337"" data-longitude=""-122.780745"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.038337"" data-longitude=""-122.780745"" id=""map""></div>]",$325500,/ 2br - 1480ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.281645"" data-longitude=""-123.124712"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.281645"" data-longitude=""-123.124712"" id=""map""></div>]",$325500,/ 2br - 1480ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.715717"" data-longitude=""-123.155825"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.715717"" data-longitude=""-123.155825"" id=""map""></div>]",$719900,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.281645"" data-longitude=""-123.124712"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.281645"" data-longitude=""-123.124712"" id=""map""></div>]",$719900,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.255066"" data-longitude=""-122.857034"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.255066"" data-longitude=""-122.857034"" id=""map""></div>]",$900000,/ 5br - 2395ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.252643"" data-longitude=""-122.587080"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.252643"" data-longitude=""-122.587080"" id=""map""></div>]",$625000,/ 3br - 2910ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.206658"" data-longitude=""-123.044504"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.206658"" data-longitude=""-123.044504"" id=""map""></div>]",$625000,2br - 1150ft
[],[],$1399000,/ 3br - 4198ft
[],[],$699000,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312757"" data-longitude=""-123.079448"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312757"" data-longitude=""-123.079448"" id=""map""></div>]",$289800,/ 460ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.025455"" data-longitude=""-123.058625"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.025455"" data-longitude=""-123.058625"" id=""map""></div>]",$879900,/ 4br - 2620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""52.321911"" data-longitude=""-119.750977"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""52.321911"" data-longitude=""-119.750977"" id=""map""></div>]",$129900,/ 4br - 2620ft
[],[],$129900,/ 4br - 2620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109887"" data-longitude=""-122.839147"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109887"" data-longitude=""-122.839147"" id=""map""></div>]",$739900,/ 5974ft
[],[],$250000,/ 2br - 1284ft
[],[],$29900,/ 2br - 1284ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]",$159900,/ 1br - 692ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.183919"" data-longitude=""-122.844057"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.183919"" data-longitude=""-122.844057"" id=""map""></div>]",$278000,/ 2br - 820ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115915"" data-longitude=""-122.802701"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115915"" data-longitude=""-122.802701"" id=""map""></div>]",$306000,/ 3br - 1320ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.128041"" data-longitude=""-122.850627"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.128041"" data-longitude=""-122.850627"" id=""map""></div>]",$306000,3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292469"" data-longitude=""-122.804317"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292469"" data-longitude=""-122.804317"" id=""map""></div>]",$306000,3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266851"" data-longitude=""-122.793643"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266851"" data-longitude=""-122.793643"" id=""map""></div>]",$426000,/ 3br - 1334ft
[],[],$426000,/ 3br - 1334ft
[],[],$426000,/ 3br - 1334ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191843"" data-longitude=""-123.108014"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191843"" data-longitude=""-123.108014"" id=""map""></div>]",$1199999,/ 5br - 12012ft
