lng,lat,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109631"" data-longitude=""-122.838667"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109631"" data-longitude=""-122.838667"" id=""map""></div>]",$700,/ 2br - 750ft
[],[],$1850,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.287188"" data-longitude=""-123.125118"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.287188"" data-longitude=""-123.125118"" id=""map""></div>]",$2200,/ 1br - 605ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.265648"" data-longitude=""-123.049493"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.265648"" data-longitude=""-123.049493"" id=""map""></div>]",$850,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276151"" data-longitude=""-123.115712"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276151"" data-longitude=""-123.115712"" id=""map""></div>]",$1545,/ 1br - 491ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.239491"" data-longitude=""-122.869205"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.239491"" data-longitude=""-122.869205"" id=""map""></div>]",$1300,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.131107"" data-longitude=""-122.804016"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.131107"" data-longitude=""-122.804016"" id=""map""></div>]",$700,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.207253"" data-longitude=""-122.902900"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.207253"" data-longitude=""-122.902900"" id=""map""></div>]",$895,/ 1br - 675ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221273"" data-longitude=""-122.925699"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221273"" data-longitude=""-122.925699"" id=""map""></div>]",$895,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221273"" data-longitude=""-122.925699"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221273"" data-longitude=""-122.925699"" id=""map""></div>]",$925,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.048068"" data-longitude=""-122.778620"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.048068"" data-longitude=""-122.778620"" id=""map""></div>]",$1850,/ 3br -
[],[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.219497"" data-longitude=""-122.957158"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.219497"" data-longitude=""-122.957158"" id=""map""></div>]",$1600,/ 2br - 965ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.205346"" data-longitude=""-122.948141"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.205346"" data-longitude=""-122.948141"" id=""map""></div>]",$975,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.161951"" data-longitude=""-123.136365"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.161951"" data-longitude=""-123.136365"" id=""map""></div>]",$2000,/ 2br - 900ft
